,highly_variable
ZNF281,False
DDX59,False
KIF21B,True
TMEM9,False
CSRP1,False
IPO9-AS1,False
IPO9,False
SHISA4,False
TIMM17A,False
RNPEP,False
ARL8A,False
PTPN7,False
UBE2T,False
PPP1R12B,True
KDM5B,False
RABIF,False
KLHL12,False
ADIPOR1,False
CYB5R1,False
TMEM183A,False
RP11-134P9.3,True
BTG2,False
ATP2B4,False
LAX1,False
ZC3H11A,False
ZBED6,False
SNRPE,False
PPP1R15B,False
PIK3C2B,False
MDM4,False
RBBP5,False
DSTYK,False
NUAK2,False
ELK4,False
NUCKS1,False
RAB7L1,False
SLC41A1,False
SRGAP2,False
IKBKE,False
RASSF5,False
EIF2D,False
MAPKAPK2,True
FAIM3,False
CD55,False
CR1,False
CD46,False
RP1-28O10.1,False
G0S2,True
TRAF3IP3,False
DIEXF,False
RCOR3,False
TRAF5,False
SLC30A1,False
LPGAT1,False
INTS7,False
PPP2R5A,False
TMEM206,False
NENF,False
ATF3,False
BATF3,False
NSL1,False
TATDN3,False
FLVCR1-AS1,False
FLVCR1,False
ANGEL2,False
RPS6KC1,False
SMYD2,False
CENPF,False
GPATCH2,False
RRP15,False
LYPLAL1,False
EPRS,False
BPNT1,False
IARS2,False
RAB3GAP2,False
DUSP10,False
TAF1A,False
RP11-378J18.3,False
MIA3,False
AIDA,False
BROX,False
RP11-452F19.3,False
SUSD4,False
CAPN2,False
TP53BP2,True
FBXO28,False
DEGS1,False
NVL,False
CNIH4,False
WDR26,False
CNIH3,False
LBR,False
SRP9,False
EPHX1,False
RP11-285F7.2,False
TMEM63A,False
PYCR2,False
SDE2,False
H3F3A,False
ACBD3,False
LIN9,False
PARP1,False
ITPKB,False
PSEN2,True
ADCK3,False
ZNF678,False
SNAP47,False
JMJD4,False
ARF1,False
C1orf35,False
MRPL55,False
GUK1,False
IBA57,False
OBSCN,False
TRIM11,False
HIST3H2A,False
RNF187,False
RAB4A,False
NUP133,False
ABCB10,False
URB2,False
GALNT2,False
COG2,False
TTC13,False
ARV1,False
FAM89A,False
C1orf131,False
GNPAT,False
EXOC8,False
SPRTN,False
EGLN1,False
RP11-295G20.2,False
TSNAX,False
DISC1,False
MAP10,True
NTPCR,False
PCNXL2,False
RP5-827C21.4,False
COA6,False
TARBP1,True
IRF2BP2,False
TOMM20,False
RBM34,False
ARID4B,False
GGPS1,False
TBCE,False
B3GALNT2,False
LYST,False
GPR137B,False
ERO1LB,False
LGALS8,False
HEATR1,False
MTR,False
FH,False
OPN3,False
CHML,False
CEP170,False
SDCCAG8,False
AKT3,False
ZBTB18,False
ADSS,False
DESI2,False
COX20,False
HNRNPU-AS1,False
HNRNPU,False
RP11-156E8.1,False
EFCAB2,False
SMYD3,False
TFB2M,False
CNST,False
SCCPDH,False
AHCTF1,False
ZNF669,False
ZNF124,False
ZNF496,False
NLRP3,False
SH3BP5L,True
ZNF672,False
ZNF692,False
PGBD2,False
SH3YL1,False
ACP1,False
TMEM18,False
TPO,False
TSSC1,False
TRAPPC12,False
ADI1,False
AC142528.1,False
